first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
JAMES,INHOFE,"INHOFE, JAMES",S4OK00083,10%,SENATE,0%,SENATE,9%,SENATE
JAMES,LANKFORD,"LANKFORD, JAMES",H0OK05114,10%,SENATE,0%,SENATE,9%,SENATE
JEFF,MERKLEY,"MERKLEY, JEFF",S8OR00207,86%,SENATE,100%,SENATE,100%,SENATE
RON,WYDEN,"WYDEN, RON",S6OR00110,86%,SENATE,100%,SENATE,100%,SENATE
PAT,TOOMEY,"TOOMEY, PAT",S4PA00121,6%,SENATE,0%,SENATE,6%,SENATE
ROBERT,CASEY,"CASEY, ROBERT",S6PA00217,57%,SENATE,100%,SENATE,100%,SENATE
JACK,REED,"REED, JACK",S6RI00163,62%,SENATE,100%,SENATE,100%,SENATE
SHELDON,WHITEHOUSE,"WHITEHOUSE, SHELDON",S6RI00221,64%,SENATE,86%,SENATE,100%,SENATE
LINDSEY,GRAHAM,"GRAHAM, LINDSEY",S0SC00149,9%,SENATE,29%,SENATE,19%,SENATE
TIM,SCOTT,"SCOTT, TIM",S4SC00240,5%,SENATE,14%,SENATE,13%,SENATE
JOHN,THUNE,"THUNE, JOHN",S2SD00068,10%,SENATE,14%,SENATE,13%,SENATE
MIKE,ROUNDS,"ROUNDS, MIKE",S4SD00049,5%,SENATE,21%,SENATE,9%,SENATE
BOB,CORKER,"CORKER, BOB",S6TN00216,14%,SENATE,NaN,NaN,16%,SENATE
LAMAR,ALEXANDER,"ALEXANDER, LAMAR",S2TN00058,5%,SENATE,36%,SENATE,13%,SENATE
Marsha,Blackburn,"Blackburn, Marsha",S8TN00337,NaN,NaN,21%,SENATE,NaN,NaN
JOHN,CORNYN,"CORNYN, JOHN",S2TX00106,5%,SENATE,7%,SENATE,13%,SENATE
Ted,Cruz,"Cruz, Ted",P60006111,23%,SENATE,0%,SENATE,13%,SENATE
MIKE,LEE,"LEE, MIKE",S0UT00165,36%,SENATE,0%,SENATE,9%,SENATE
ORRIN,HATCH,"HATCH, ORRIN",S6UT00063,5%,SENATE,NaN,NaN,13%,SENATE
Mitt,Romney,"Romney, Mitt",P80003353,NaN,NaN,14%,SENATE,NaN,NaN
MARK,WARNER,"WARNER, MARK",S6VA00093,62%,SENATE,100%,SENATE,97%,SENATE
TIM,KAINE,"KAINE, TIM",S2VA00142,67%,SENATE,100%,SENATE,97%,SENATE
BERNIE,SANDERS,"SANDERS, BERNIE",P60007168,86%,SENATE,69%,SENATE,100%,SENATE
PATRICK,LEAHY,"LEAHY, PATRICK",S4VT00017,76%,SENATE,100%,SENATE,100%,SENATE
MARIA,CANTWELL,"CANTWELL, MARIA",S8WA00194,76%,SENATE,100%,SENATE,100%,SENATE
PATTY,MURRAY,"MURRAY, PATTY",S2WA00189,76%,SENATE,93%,SENATE,100%,SENATE
RON,JOHNSON,"JOHNSON, RON",S0WI00197,14%,SENATE,0%,SENATE,6%,SENATE
TAMMY,BALDWIN,"BALDWIN, TAMMY",H8WI00018,75%,SENATE,100%,SENATE,100%,SENATE
SHELLEY,MOORE CAPITO,"MOORE CAPITO, SHELLEY",S4WV00159,5%,SENATE,29%,SENATE,13%,SENATE
JOE,MANCHIN,"MANCHIN, JOE",S0WV00090,52%,SENATE,86%,SENATE,75%,SENATE
JOHN,BARRASSO,"BARRASSO, JOHN",S6WY00068,19%,SENATE,7%,SENATE,3%,SENATE
MIKE,ENZI,"ENZI, MIKE",S6WY00126,19%,SENATE,7%,SENATE,3%,SENATE
