first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Scott,DesJarlais,"DesJarlais, Scott",H0TN04195,0.11,HOUSE,0.03,HOUSE,0.09,HOUSE
Jim,Cooper,"Cooper, Jim",H2TN05131,0.68,HOUSE,0.93,HOUSE,0.75,HOUSE
John,Rose,"Rose, John",H8TN06094,,,0.03,HOUSE,,
Diane,Black,"Black, Diane",H0TN06257,0.12,HOUSE,,,0.06,HOUSE
Marsha,Blackburn,"Blackburn, Marsha",H2TN06030,0.11,HOUSE,,,0.06,HOUSE
Mark E,Green,"Green, Mark E",H8TN07076,,,0,HOUSE,,
David,Kustoff,"Kustoff, David",H2TN07103,0.04,HOUSE,0.1,HOUSE,0.09,HOUSE
Steve,Cohen,"Cohen, Steve",H6TN09068,0.88,HOUSE,0.96,HOUSE,1,HOUSE
Louie,Gohmert,"Gohmert, Louie",H4TX04039,0.16,HOUSE,0.03,HOUSE,0.16,HOUSE
Dan,Crenshaw,"Crenshaw, Dan",H8TX02166,,,0.1,HOUSE,,
Ted,Poe,"Poe, Ted",H4TX02108,0.15,HOUSE,,,0.13,HOUSE
Sam,Johnson,"Johnson, Sam",H2TX03118,0.04,HOUSE,,,0.03,HOUSE
John,Ratcliffe,"Ratcliffe, John",H4TX04153,0.06,HOUSE,0.07,HOUSE,0.03,HOUSE
Jeb,Hensarling,"Hensarling, Jeb",H2TX05121,0.04,HOUSE,,,0.06,HOUSE
Joe,Barton,"Barton, Joe",H4TX06117,0.11,HOUSE,,,0.06,HOUSE
Van,Taylor,"Taylor, Van",H8TX03123,,,0.07,HOUSE,,
Lance,Gooden,"Gooden, Lance",H8TX05144,,,0.07,HOUSE,,
Ron,Wright,"Wright, Ron",H8TX06233,,,0.07,HOUSE,,
John,Culberson,"Culberson, John",H0TX07055,0.04,HOUSE,,,0.09,HOUSE
